Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ForgotPass,Chrome 70.0.3538.110,,2018-11-29 06:55:10,2018-11-29 06:55:44,34.748s,PASSED
,,,,,,
Test Cases/TC_03 Forgot Password,Chrome 70.0.3538.110,,2018-11-29 06:55:10,2018-11-29 06:55:44,33.908s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 06:55:11,2018-11-29 06:55:19,7.305s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 06:55:19,2018-11-29 06:55:36,17.653s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 06:55:36,2018-11-29 06:55:38,1.222s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 06:55:38,2018-11-29 06:55:38,0.496s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 06:55:38,2018-11-29 06:55:38,0.455s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-11-29 06:55:38,2018-11-29 06:55:39,1.013s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 06:55:39,2018-11-29 06:55:40,0.477s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 06:55:40,2018-11-29 06:55:41,1.070s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 06:55:41,2018-11-29 06:55:42,0.841s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-11-29 06:55:42,2018-11-29 06:55:43,1.001s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 06:55:43,2018-11-29 06:55:44,1.393s,PASSED
