Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS Daily Input,Chrome 70.0.3538.110,,2018-11-29 04:57:48,2018-11-29 04:58:51,1m - 3.711s,FAILED
,,,,,,
Test Cases/TZ S,Chrome 70.0.3538.110,,2018-11-29 04:57:49,2018-11-29 04:58:37,48.689s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 04:57:50,2018-11-29 04:58:27,37.917s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 04:58:27,2018-11-29 04:58:34,6.793s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 04:58:34,2018-11-29 04:58:36,1.645s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 04:58:36,2018-11-29 04:58:37,1.408s,PASSED
,,,,,,
Test Cases/TC_04 Visualize Incomes,Chrome 70.0.3538.110,,2018-11-29 04:58:37,2018-11-29 04:58:49,11.785s,FAILED
click,Chrome 70.0.3538.110,,2018-11-29 04:58:38,2018-11-29 04:58:43,4.935s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Balance).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 04:58:43,2018-11-29 04:58:49,5.931s,FAILED
