Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_1 ForgotPass,Chrome 70.0.3538.110,,2018-11-29 07:00:34,2018-11-29 07:00:53,19.300s,PASSED
,,,,,,
Test Cases/TC_03 Forgot Password,Chrome 70.0.3538.110,,2018-11-29 07:00:35,2018-11-29 07:00:53,18.434s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 07:00:35,2018-11-29 07:00:43,7.754s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 07:00:43,2018-11-29 07:00:46,2.728s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 07:00:46,2018-11-29 07:00:47,0.713s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 07:00:47,2018-11-29 07:00:47,0.544s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 07:00:47,2018-11-29 07:00:48,0.421s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-11-29 07:00:48,2018-11-29 07:00:49,1.013s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 07:00:49,2018-11-29 07:00:49,0.646s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 07:00:49,2018-11-29 07:00:50,0.771s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 07:00:50,2018-11-29 07:00:51,0.939s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-11-29 07:00:51,2018-11-29 07:00:52,1.001s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 07:00:52,2018-11-29 07:00:53,1.065s,PASSED
