Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_3 Forgot Password,Chrome 70.0.3538.110,,2018-12-08 17:01:16,2018-12-08 17:02:40,1m - 24.064s,PASSED
,,,,,,
Test Cases/TC_03 Forgot Password,Chrome 70.0.3538.110,,2018-12-08 17:01:18,2018-12-08 17:02:40,1m - 22.727s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:01:18,2018-12-08 17:02:15,56.856s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:02:15,2018-12-08 17:02:24,8.408s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:02:24,2018-12-08 17:02:27,3.098s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:02:27,2018-12-08 17:02:29,2.041s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:02:29,2018-12-08 17:02:30,1.685s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-12-08 17:02:30,2018-12-08 17:02:31,1.037s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:02:31,2018-12-08 17:02:33,1.698s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:02:33,2018-12-08 17:02:35,2.199s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:02:35,2018-12-08 17:02:37,1.705s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-12-08 17:02:37,2018-12-08 17:02:38,1.002s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 17:02:38,2018-12-08 17:02:40,2.117s,PASSED
