Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_5 ConfPorct,Chrome 70.0.3538.110,,2018-11-29 09:00:31,2018-11-29 09:01:05,33.339s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 09:00:32,2018-11-29 09:00:48,16.286s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 09:00:33,2018-11-29 09:00:39,6.460s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 09:00:39,2018-11-29 09:00:46,6.389s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 09:00:46,2018-11-29 09:00:47,1.592s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 09:00:47,2018-11-29 09:00:48,1.063s,PASSED
,,,,,,
Test Cases/TC_10 Change Percentage,Chrome 70.0.3538.110,,2018-11-29 09:00:48,2018-11-29 09:01:04,16.199s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:00:49,2018-11-29 09:00:52,2.241s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:00:52,2018-11-29 09:00:52,0.647s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:00:52,2018-11-29 09:00:54,1.711s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Change Percentage).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 09:00:54,2018-11-29 09:01:03,9.261s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 09:01:03,2018-11-29 09:01:04,1.248s,PASSED
