Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_6 Balance Simulator,Chrome 70.0.3538.110,,2018-11-29 09:14:56,2018-11-29 09:15:24,28.505s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 09:14:57,2018-11-29 09:15:12,14.472s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 09:14:58,2018-11-29 09:15:04,6.396s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 09:15:04,2018-11-29 09:15:09,5.185s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 09:15:09,2018-11-29 09:15:10,1.015s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 09:15:10,2018-11-29 09:15:12,1.086s,PASSED
,,,,,,
Test Cases/TC_11 Balance Simulator,Chrome 70.0.3538.110,,2018-11-29 09:15:12,2018-11-29 09:15:24,12.799s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:15:12,2018-11-29 09:15:15,2.356s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:15:15,2018-11-29 09:15:16,0.980s,PASSED
"Statement - For ([row = 1, row < com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Bs Di).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 09:15:16,2018-11-29 09:15:23,7.303s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 09:15:23,2018-11-29 09:15:24,1.267s,PASSED
