Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_7 Change Percentage,Chrome 70.0.3538.110,,2018-12-08 17:25:04,2018-12-08 17:26:22,1m - 17.035s,FAILED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:25:06,2018-12-08 17:25:34,28.048s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:25:07,2018-12-08 17:25:19,11.810s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:25:19,2018-12-08 17:25:29,9.614s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:25:29,2018-12-08 17:25:33,4.306s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:25:33,2018-12-08 17:25:34,1.007s,PASSED
,,,,,,
Test Cases/TC_10 Change Percentage,Chrome 70.0.3538.110,,2018-12-08 17:25:34,2018-12-08 17:26:20,46.003s,FAILED
click,Chrome 70.0.3538.110,,2018-12-08 17:25:36,2018-12-08 17:25:39,3.929s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:25:39,2018-12-08 17:25:41,1.139s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:25:41,2018-12-08 17:25:43,2.480s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Change Percentage).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 17:25:43,2018-12-08 17:26:20,37.218s,FAILED
