Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_7 Saving History,Chrome 70.0.3538.110,,2018-11-29 09:20:50,2018-11-29 09:21:37,46.797s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 09:20:52,2018-11-29 09:21:17,24.621s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 09:20:54,2018-11-29 09:21:09,15.108s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 09:21:09,2018-11-29 09:21:15,6.183s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 09:21:15,2018-11-29 09:21:16,0.570s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 09:21:16,2018-11-29 09:21:17,1.158s,PASSED
,,,,,,
Test Cases/TC_12 Saving History,Chrome 70.0.3538.110,,2018-11-29 09:21:17,2018-11-29 09:21:36,19.610s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:21:18,2018-11-29 09:21:26,8.388s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:21:27,2018-11-29 09:21:31,4.498s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-29 09:21:31,2018-11-29 09:21:33,2.011s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 09:21:33,2018-11-29 09:21:35,2.138s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 09:21:35,2018-11-29 09:21:36,1.339s,PASSED
